iter	Passed	Remaining
549	4496	3678
550	4505	3671
551	4514	3663
552	4522	3655
553	4529	3646
554	4538	3639
555	4545	3629
556	4553	3621
557	4561	3613
558	4569	3604
559	4577	3596
560	4586	3589
561	4594	3580
562	4602	3572
563	4611	3564
564	4619	3556
565	4626	3547
566	4635	3539
567	4643	3531
568	4651	3523
569	4659	3514
570	4666	3506
571	4674	3497
572	4682	3489
573	4690	3480
574	4697	3472
575	4705	3463
576	4713	3455
577	4722	3447
578	4731	3440
579	4739	3431
580	4746	3423
581	4755	3415
582	4763	3407
583	4771	3398
584	4779	3390
585	4787	3382
586	4796	3374
587	4804	3366
588	4812	3358
589	4820	3349
590	4828	3341
591	4836	3333
592	4845	3325
593	4853	3317
594	4862	3309
595	4869	3300
596	4878	3293
597	4885	3284
598	4893	3275
599	4900	3267
600	4908	3258
601	4915	3249
602	4924	3241
603	4932	3234
604	4940	3225
605	4949	3218
606	4957	3209
607	4964	3200
608	4973	3193
609	4981	3185
610	4989	3176
611	4998	3168
612	5006	3160
613	5013	3152
614	5022	3144
615	5030	3135
616	5038	3127
617	5046	3119
618	5054	3111
619	5062	3102
620	5070	3094
621	5078	3086
622	5085	3077
623	5094	3069
624	5101	3061
625	5109	3052
626	5118	3044
627	5127	3037
628	5135	3028
629	5144	3021
630	5151	3012
631	5159	3004
632	5167	2995
633	5175	2987
634	5182	2979
635	5190	2970
636	5199	2962
637	5206	2954
638	5215	2946
639	5224	2938
640	5232	2930
641	5240	2922
642	5248	2913
643	5256	2905
644	5264	2897
645	5273	2889
646	5281	2881
647	5289	2873
648	5296	2864
649	5304	2856
650	5313	2848
651	5321	2840
652	5328	2831
653	5337	2823
654	5345	2815
655	5353	2807
656	5361	2799
657	5369	2790
658	5377	2782
659	5385	2774
660	5392	2765
661	5399	2756
662	5407	2748
663	5415	2740
664	5422	2731
665	5430	2723
666	5438	2715
667	5446	2706
668	5454	2698
669	5462	2690
670	5469	2681
671	5478	2673
672	5486	2665
