date,hs1,hs2,hs3,hs4
2009-03-31,-0.39682245,0.09175183,0.082139134,-0.18011014
2009-04-30,-0.15730663,0.08732388,0.0118945,-0.21698889
2009-05-31,-0.19660725,0.12806968,0.0445116,-0.1919762
2009-06-30,-0.21224,0.17395179,0.045836158,-0.19395252
2009-07-31,-0.101045296,0.1446697,0.035980377,-0.18069333
2009-08-31,-0.018310972,0.06882382,0.025445102,-0.11761236
2009-09-30,0.040120278,-0.050050013,0.023902753,-0.02598885
2009-10-31,0.00865911,0.012755069,0.02701406,-0.061251357
2009-11-30,0.060682863,-0.064851046,0.057711817,-0.055093233
2009-12-31,0.007001498,-0.10874402,0.03610685,-0.023942018
2010-01-31,0.033593006,-0.064287424,0.0609023,-0.034597434
2010-02-28,0.011716062,-0.052335504,0.028185816,-0.0029544022
2010-03-31,0.0051069064,-0.020746022,0.0071185227,-0.036053143
2010-04-30,-0.032271452,0.061321862,0.008639335,-0.07925332
2010-05-31,-0.07334869,0.09803761,-0.014514427,-0.073969275
2010-06-30,-0.036206257,0.017329741,-0.043336608,-0.008757837
2010-07-31,-0.11690334,-0.054052357,-0.035594262,0.023564154
2010-08-31,-0.122228965,-0.12723194,-0.010918108,0.056131717
2010-09-30,-0.14615701,0.014313707,0.028066332,-0.08738565
2010-10-31,-0.0092899185,0.054542992,0.07303511,-0.14049847
2010-11-30,-0.0019550577,0.029591622,0.060737196,-0.10890205
2010-12-31,0.0134427305,0.05614091,0.103453785,-0.12601313
2011-01-31,0.012950746,0.026244039,0.032823175,-0.05772114
2011-02-28,0.035388075,0.048879616,0.011634073,0.03375354
2011-03-31,0.00064026885,0.13011163,-0.018409062,-0.0671086
2011-04-30,-0.011584989,0.048105862,-0.020461246,-0.0025998233
2011-05-31,0.045499913,0.057730056,0.022410972,-0.0207719
2011-06-30,0.0031928387,2.272404e-05,0.012048992,-0.006074614
2011-07-31,0.022598395,-0.0015723021,0.062508486,-0.04374103
2011-08-31,0.050269358,0.06477397,0.08117097,-0.08120544
2011-09-30,-0.0075210724,0.041645516,0.045677572,-0.059172414
