date,year,permno,ticker,ret,ret_pred,me_last_year
2018-01-31,2018,12369,GM,0.0346425510942935,0.008308675317539573,73799883.06608327
2018-01-31,2018,87055,COST,0.0470126830041408,0.008307090072757027,89300797.02812576
2018-01-31,2018,76076,CSCO,0.0921671465039253,0.008305165587791105,66251581.30361494
2018-01-31,2018,66800,AIG,0.0728431716561317,0.008304272051171365,218982177.0087687
2018-01-31,2018,90319,GOOG,0.1222896724939346,0.008303514104643249,96655879.2264436
2018-01-31,2018,10145,HON,0.0411450006067752,0.008303321922042034,772814796.6197306
2018-01-31,2018,14008,AMGN,0.0698677971959114,0.008303138362487507,76843375.01900165
2018-02-28,2018,87842,MET,-0.030788455158472,0.008326819718438306,78983857.86800575
2018-02-28,2018,87055,COST,-0.0178067497909069,0.008311439295055774,89300797.02812576
2018-02-28,2018,57665,NKE,-0.0174436010420322,0.0083114237988863,274562252.09642154
2018-02-28,2018,19393,BMY,0.0575079657137393,0.008307379079997287,58625281.53248628
2018-02-28,2018,76076,CSCO,0.0779970586299896,0.008303200956776563,66251581.30361494
2018-02-28,2018,13928,COP,-0.0716714859008789,0.008302794330708345,115634157.66439788
2018-02-28,2018,18163,PG,-0.0905721560120582,0.008301870980590388,103921479.82613628
2018-02-28,2018,90319,GOOG,-0.0662312656641006,0.008300330735885639,96655879.2264436
2018-02-28,2018,14008,AMGN,-0.0051598963327705,0.008298810871740947,76843375.01900165
2018-02-28,2018,49656,BK,0.0058200708590447,0.008298582631521532,108720339.62966283
2018-03-31,2018,87842,MET,-0.0064948960207402,0.008397377833472988,78983857.86800575
2018-03-31,2018,12369,GM,-0.0668360441923141,0.008356476641869417,73799883.06608327
2018-03-31,2018,87055,COST,-0.0129387183114886,0.0083159215532389,89300797.02812576
2018-03-31,2018,57665,NKE,-0.0058182356879115,0.008313773142911393,274562252.09642154
2018-03-31,2018,90319,GOOG,-0.0604935362935066,0.0083103507703899,96655879.2264436
2018-03-31,2018,19393,BMY,-0.0445618890225887,0.00830658151255236,58625281.53248628
2018-03-31,2018,18163,PG,0.009679090231657,0.008305990776238904,103921479.82613628
2018-03-31,2018,77274,GILD,-0.0351835861802101,0.008304829160281049,86999408.45560582
2018-03-31,2018,14008,AMGN,-0.0723187029361724,0.008302492014529123,76843375.01900165
2018-03-31,2018,13928,COP,0.0916958078742027,0.008301343228812355,115634157.66439788
2018-04-30,2018,12369,GM,0.0110071962699294,0.008462311060342433,73799883.06608327
2018-04-30,2018,87842,MET,0.0387883819639682,0.00839109471919406,78983857.86800575
2018-04-30,2018,70519,C,0.0114073576405644,0.008332354773814369,88935093.29937808
2018-04-30,2018,19502,WBA,0.0149686224758625,0.008319904894412766,95138198.81623872
2018-04-30,2018,87055,COST,0.0463302619755268,0.008313607265582197,89300797.02812576
2018-04-30,2018,66800,AIG,0.0290334783494472,0.008311918860089404,218982177.0087687
2018-04-30,2018,90319,GOOG,-0.0178953632712364,0.008311706483100789,96655879.2264436
2018-04-30,2018,19393,BMY,-0.1694861501455307,0.00830935136538487,58625281.53248628
2018-04-30,2018,14008,AMGN,0.0234631635248661,0.008305472675023054,76843375.01900165
2018-04-30,2018,77274,GILD,-0.0419153198599815,0.008304305131647842,86999408.45560582
2018-05-31,2018,15408,KHC,0.0305959284305572,0.008451671493971583,920729627.3825722
2018-05-31,2018,87842,MET,-0.0264316461980342,0.008316906610099718,78983857.86800575
2018-05-31,2018,87055,COST,0.0083688469603657,0.00831285738923988,89300797.02812576
2018-05-31,2018,76841,BIIB,0.0744151473045349,0.00831058938927134,207444101.05470213
2018-05-31,2018,15579,TXN,0.1094351112842559,0.008305741037275192,97560864.43022601
2018-05-31,2018,90319,GOOG,0.0799347907304763,0.00830491641514814,96655879.2264436
2018-05-31,2018,18163,PG,0.0114736231043934,0.008303687411394627,103921479.82613628
2018-05-31,2018,59328,INTC,0.0751647055149078,0.008303511242897984,86896332.69910876
2018-05-31,2018,17830,UTX,0.0446941182017326,0.00830348446242705,145380.23771595955
2018-05-31,2018,19393,BMY,0.0093995369970798,0.008303120566813114,58625281.53248628
2018-06-30,2018,19502,WBA,-0.0380669981241226,0.008340582725603975,95138198.81623872
2018-06-30,2018,87842,MET,-0.0519678853452205,0.008322301207595263,78983857.86800575
2018-06-30,2018,87055,COST,0.054176703095436,0.008309603522622047,89300797.02812576
2018-06-30,2018,19393,BMY,0.051691398024559,0.00829864918430018,58625281.53248628
2018-06-30,2018,18163,PG,0.0668306648731231,0.008297795928690654,103921479.82613628
2018-06-30,2018,17830,UTX,0.0016824153717607,0.008296893370804498,145380.23771595955
2018-06-30,2018,11308,KO,0.0290697813034057,0.008296776827789194,113410091.15935135
2018-06-30,2018,76841,BIIB,-0.0126547878608107,0.008296459340654589,207444101.05470213
2018-06-30,2018,14008,AMGN,0.0276695322245359,0.008296407400485803,76843375.01900165
2018-06-30,2018,66093,T,-0.0064974962733685,0.008296301710348989,215089627.91433874
2018-07-31,2018,19502,WBA,0.1267183721065521,0.008369834047859891,95138198.81623872
2018-07-31,2018,87842,MET,0.0490826442837715,0.00834200533986816,78983857.86800575
2018-07-31,2018,59328,INTC,-0.0323878638446331,0.008308709841090983,86896332.69910876
2018-07-31,2018,87055,COST,0.0465595312416553,0.008307969957618533,89300797.02812576
2018-07-31,2018,14008,AMGN,0.0647922828793525,0.008304272762676907,76843375.01900165
2018-07-31,2018,90319,GOOG,0.0868144705891609,0.008303744780574164,96655879.2264436
2018-07-31,2018,17830,UTX,0.0856594964861869,0.008303220637777872,145380.23771595955
2018-07-31,2018,15579,TXN,0.0153287956491112,0.008303095092038153,97560864.43022601
2018-07-31,2018,76841,BIIB,0.1520466059446334,0.008302572226498361,207444101.05470213
2018-07-31,2018,12490,IBM,0.0374373346567153,0.008300394639308494,54101364.33327516
2018-08-31,2018,15408,KHC,-0.0224896185100078,0.008420494054502257,920729627.3825722
2018-08-31,2018,87842,MET,0.0124616893008351,0.008363988050020877,78983857.86800575
2018-08-31,2018,87055,COST,0.0685382336378097,0.008306748129396186,89300797.02812576
2018-08-31,2018,15970,ROSE,-0.0911161452531814,0.008301577216590124,103448137.99064
2018-08-31,2018,18163,PG,0.0255934689193964,0.00830094303748794,103921479.82613628
2018-08-31,2018,21936,PFE,0.0483345873653888,0.008300241434871191,92373098.76308441
2018-08-31,2018,15579,TXN,0.0097017772495746,0.008299666431907882,97560864.43022601
2018-08-31,2018,59328,INTC,0.0130977518856525,0.008299028116423725,86896332.69910876
2018-08-31,2018,90319,GOOG,0.0037320759147405,0.008297756979271412,96655879.2264436
2018-08-31,2018,26403,DIS,-0.0135611211881041,0.00829678079613883,78189204.3020935
2018-09-30,2018,15408,KHC,-0.0542303025722503,0.008476700186448359,920729627.3825722
2018-09-30,2018,87842,MET,0.0180867686867713,0.008361876450252199,78983857.86800575
2018-09-30,2018,87055,COST,0.007506541442126,0.008293676784620624,89300797.02812576
2018-09-30,2018,18163,PG,0.0033756047487258,0.008290030044594955,103921479.82613628
2018-09-30,2018,86783,BKNG,0.0166277829557657,0.008288005044838528,142072465.5495135
2018-09-30,2018,14008,AMGN,0.0374355427920818,0.008286511626517907,76843375.01900165
2018-09-30,2018,90319,GOOG,-0.0200682673603296,0.00828525485038895,96655879.2264436
2018-09-30,2018,12490,IBM,0.0322911739349365,0.008284921918336222,54101364.33327516
2018-09-30,2018,15579,TXN,-0.0454626381397247,0.008284822914751366,97560864.43022601
2018-09-30,2018,21936,PFE,0.0614161677658557,0.008284738962302113,92373098.76308441
2018-10-31,2018,15408,KHC,-0.0025403627660125,0.008553405606703174,920729627.3825722
2018-10-31,2018,87842,MET,-0.1183647811412811,0.008363001679919971,78983857.86800575
2018-10-31,2018,87055,COST,-0.0266093313694,0.008318044061350473,89300797.02812576
2018-10-31,2018,57665,NKE,-0.114258736371994,0.008316517828780718,274562252.09642154
2018-10-31,2018,18163,PG,0.0740982443094253,0.008307773144202547,103921479.82613628
2018-10-31,2018,15579,TXN,-0.1275980919599533,0.008304054160534062,97560864.43022601
2018-10-31,2018,90319,GOOG,-0.0965139046311378,0.008302970834810026,96655879.2264436
2018-10-31,2018,89525,CMCSA,0.0824625715613365,0.00830210114624666,136750771.1096891
2018-10-31,2018,12490,IBM,-0.2366245985031128,0.008301363942358439,54101364.33327516
